#median_gene_expression: Median gene expression level per bin.
#average_as: Average per-intron alternative splicing rate (%).
#median_gene_expression_errorBar: Standard deviation of the gene expression level per bin.
#average_as_errorBar: Standard deviation of average per-intron alternative splicing rate (%).
#effectif.intervalle: Interval of gene expression level.
#effectif.Freq: The number of introns found in each interval.
#group: Indication on the selection of the introns.
#species: Scientific name.
median_gene_expression	average_as	median_gene_expression_errorBar	average_as_errorBar	effectif.intervalle	effectif.Freq	intron	group	species
0.300013294118988	6.35252276606817	0.00163177250174676	0.123217927891268	[3.89e-09,0.544]	7645	All	All protein-codingenterN= 152405	Homo_sapiens
0.781972501986011	5.97436788072646	0.0016967209078938	0.115005908675619	(0.544,1.07]	7594	All	All protein-codingenterN= 152405	Homo_sapiens
1.32145573314259	5.67420008704396	0.00175054635324907	0.114185719475768	(1.07,1.6]	7620	All	All protein-codingenterN= 152405	Homo_sapiens
1.93587694965697	5.43394092414629	0.00216033774493274	0.108555207811199	(1.6,2.25]	7636	All	All protein-codingenterN= 152405	Homo_sapiens
2.59765666496538	5.14616368835162	0.00223552480220772	0.107872208520491	(2.25,2.93]	7609	All	All protein-codingenterN= 152405	Homo_sapiens
3.29953589810994	4.6945854526566	0.00236135132661696	0.102453498775851	(2.93,3.64]	7613	All	All protein-codingenterN= 152405	Homo_sapiens
3.97872922849593	4.56777290068483	0.00237996624982712	0.10093268648569	(3.64,4.34]	7624	All	All protein-codingenterN= 152405	Homo_sapiens
4.69982215601781	4.54694745850331	0.00241560999545852	0.103698629432108	(4.34,5.05]	7647	All	All protein-codingenterN= 152405	Homo_sapiens
5.40325325031272	4.15869601151095	0.00250570494753018	0.0979008320105095	(5.05,5.78]	7594	All	All protein-codingenterN= 152405	Homo_sapiens
6.2393038954875	4.13740433326782	0.00304530726254768	0.0983518690450459	(5.78,6.69]	7617	All	All protein-codingenterN= 152405	Homo_sapiens
7.19690379163456	3.9906538933567	0.00332733801888078	0.0974579955610422	(6.69,7.74]	7619	All	All protein-codingenterN= 152405	Homo_sapiens
8.33542354256731	4.00621889136983	0.00391352143249675	0.0978789748389836	(7.74,8.93]	7622	All	All protein-codingenterN= 152405	Homo_sapiens
