#species: Scientific name.
#prop_fp_sv_abundant: Fraction of frame-preserving spliced variants among abundant variants of protein-coding genes.
#prop_fp_sv_abundant_busco: Fraction of frame-preserving spliced variants among abundant variants of BUSCO genes.
#prop_fp_sv_rare: Fraction of frame-preserving spliced variants among rare variants of protein-coding genes.
#prop_fp_sv_rare_busco: Fraction of frame-preserving spliced variants among rare variants of BUSCO genes.
#prop_fp_sv_all: Fraction of frame-preserving spliced variants among protein-coding genes.
#prop_fp_sv_all_busco: Fraction of frame-preserving spliced variants among BUSCO genes.
species	reg_linear	prop_fp_sv_abundant	prop_fp_sv_abundant_busco	prop_fp_sv_rare	prop_fp_sv_rare_busco	prop_fp_sv_all	prop_fp_sv_all_busco
Callorhinchus_milii	65.9943461114918	0.740858505564388	0.666666666666667	0.378581907090465	0.336273428886439	0.435023117569353	0.357731958762887
Gallus_gallus	58.6583103828989	0.678774120317821	0.596153846153846	0.348672566371681	0.354939009806266	0.362499603790928	0.360793465577596
Crocodylus_porosus	56.138869390543	0.65662362505978	0.521739130434783	0.360030583962535	0.350500715307582	0.386974844680019	0.357697578803106
Monodelphis_domestica	60.7582936908375	0.69410815173527	0.666666666666667	0.360490303947187	0.342583249243189	0.374121953632556	0.34812794445822
Loxodonta_africana	52.0371547872985	0.610266940451745	0.539823008849557	0.33970116325712	0.320790816326531	0.35526782127921	0.328408741151123
Canis_lupus	50.8250673577817	0.602875557759048	0.46078431372549	0.333289212442091	0.325213154689403	0.390096113664856	0.340195016251354
Equus_caballus	52.3500201179845	0.623676248108926	0.576576576576577	0.341327248895577	0.336039975015615	0.373445768618509	0.351635514018692
Bos_taurus	58.9276194475722	0.685368043087971	0.705263157894737	0.376740740740741	0.358024691358025	0.420460325534079	0.388940955951265
Sus_scrofa	57.3988727294354	0.659600489196902	0.547169811320755	0.365867289909562	0.346368715083799	0.39841879376553	0.360208062418726
Macaca_mulatta	56.9056061246541	0.651201052977953	0.545454545454545	0.345612941217223	0.330560177481974	0.360893101008605	0.33692142088267
Homo_sapiens	53.3397159914526	0.615762036185219	0.51219512195122	0.342755939285764	0.350630850630851	0.354542325310456	0.35457613658924
Oryctolagus_cuniculus	56.4021343319081	0.65552805280528	0.577777777777778	0.358185031441371	0.353956834532374	0.367742021029741	0.358022199798184
Heterocephalus_glaber	58.4257745589543	0.661662394727206	0.585365853658537	0.380575239683201	0.359635210150674	0.403207736305207	0.370132325141777
Rattus_norvegicus	56.6938001805125	0.658501952431665	0.584905660377358	0.359364634314253	0.365561176691025	0.369553126662475	0.369832812787066
Mus_musculus	51.6406915039548	0.616742969260955	0.518867924528302	0.35591957293445	0.362234681617942	0.366296315570358	0.365490196078431
Acyrthosiphon_pisum	48.6560187860446	0.558044806517312	0.349206349206349	0.321870437255053	0.297037964121819	0.334521255318375	0.298373983739837
Cimex_lectularius	49.0490906832948	0.551724137931034	0.480392156862745	0.313843695525857	0.271593944790739	0.346296180141755	0.288979591836735
Halyomorpha_halys	42.5294861033275	0.488910793494332	0.316326530612245	0.328486450760079	0.300432276657061	0.345919023136247	0.301480484522207
Blattella_germanica	62.0513711037957	0.686232657417289	0.636363636363636	0.391549932218708	0.325531914893617	0.443035614394928	0.345924453280318
Zootermopsis_nevadensis	53.8117398257249	0.624183006535948	0.504065040650406	0.361311924511072	0.353828306264501	0.378476420798065	0.360649686231082
Cryptotermes_secundus	57.5365513909515	0.65991133628879	0.568181818181818	0.375378787878788	0.352017937219731	0.422676071165386	0.371428571428571
Onthophagus_taurus	49.1636565086292	0.582001682085786	0.545454545454545	0.325049701789264	0.269814502529511	0.362167415866845	0.29742033383915
