#species: Scientific name.
#rate: Sequence from 0 to 1 with 0.05 step.
#intervalle: Interval of relative abundance of the focal intron compared to other transcripts with alternative splice boundaries (i.e. RAS = Ns/(Ns+Na)).
#Freq: Fraction of introns that are in the RAS interval (%).
#intervalle.1: Interval of relative abundance of the focal intron compared to unspliced transcripts (i.e. RANS = Ns/(Ns+Nu/2)).
#Freq.1: Fraction of introns that are in the RANS interval (%).
species	rate	intervalle	Freq	intervalle.1	Freq.1
Callorhinchus_milii	0.025	[0,0.05]	30.7125690278313	[0,0.05]	8.69254148847468
Callorhinchus_milii	0.075	(0.05,0.1]	3.12024143687967	(0.05,0.1]	5.146991581269
Callorhinchus_milii	0.125	(0.1,0.15]	1.23195185939421	(0.1,0.15]	1.73969176147825
Callorhinchus_milii	0.175	(0.15,0.2]	0.902177701946539	(0.15,0.2]	1.63694558756287
Callorhinchus_milii	0.225	(0.2,0.25]	0.608637422716348	(0.2,0.25]	0.959143602571344
Callorhinchus_milii	0.275	(0.25,0.3]	0.520575338947291	(0.25,0.3]	0.899970413405417
Callorhinchus_milii	0.325	(0.3,0.35]	0.436641165354909	(0.3,0.35]	0.700395384491245
Callorhinchus_milii	0.375	(0.35,0.4]	0.390775496725191	(0.35,0.4]	0.779472282740257
Callorhinchus_milii	0.425	(0.4,0.45]	0.338488634487314	(0.4,0.45]	0.592269829742597
Callorhinchus_milii	0.475	(0.45,0.5]	0.377015796136276	(0.45,0.5]	0.766023830657091
Callorhinchus_milii	0.525	(0.5,0.55]	0.313262516740969	(0.5,0.55]	0.633691062158745
Callorhinchus_milii	0.575	(0.55,0.6]	0.36830131909663	(0.55,0.6]	0.794534549073402
Callorhinchus_milii	0.625	(0.6,0.65]	0.375639826077385	(0.6,0.65]	0.803679496489954
Callorhinchus_milii	0.675	(0.65,0.7]	0.443062358963069	(0.65,0.7]	1.00056483498749
Callorhinchus_milii	0.725	(0.7,0.75]	0.52240996569248	(0.7,0.75]	1.2372575916512
Callorhinchus_milii	0.775	(0.75,0.8]	0.612306676206726	(0.75,0.8]	1.71279485731192
Callorhinchus_milii	0.825	(0.8,0.85]	0.791182783862623	(0.8,0.85]	2.22975335538879
Callorhinchus_milii	0.875	(0.85,0.9]	1.30671289926065	(0.85,0.9]	3.95599666478388
Callorhinchus_milii	0.925	(0.9,0.95]	2.6923147485644	(0.9,0.95]	8.34449554856236
Callorhinchus_milii	0.975	(0.95,1]	53.935733025116	(0.95,1]	57.3737862771995
Gallus_gallus	0.025	[0,0.05]	66.1217302853884	[0,0.05]	45.1203658682964
Gallus_gallus	0.075	(0.05,0.1]	1.86117029679318	(0.05,0.1]	8.55408377293543
Gallus_gallus	0.125	(0.1,0.15]	0.757491109304503	(0.1,0.15]	3.08314837155651
Gallus_gallus	0.175	(0.15,0.2]	0.544422653838893	(0.15,0.2]	2.30335901436904
Gallus_gallus	0.225	(0.2,0.25]	0.372002882010935	(0.2,0.25]	1.43547970370853
Gallus_gallus	0.275	(0.25,0.3]	0.300145256433473	(0.25,0.3]	1.2279698825942
Gallus_gallus	0.325	(0.3,0.35]	0.274523100396469	(0.3,0.35]	0.952714208116075
Gallus_gallus	0.375	(0.35,0.4]	0.23830531592311	(0.35,0.4]	0.905109013860436
Gallus_gallus	0.425	(0.4,0.45]	0.213839046624618	(0.4,0.45]	0.700447366761402
