group	mean_polymorphism	Nb_introns_minor	svr_mean	pvalue_vs_control	percent_difference_vs_control	error_bar	error_bar_2	color_group	filtering	significance	difference_vs_rare
AG unshared major splice site	0.00360793746241732	1663	0.091018940559051	NA	NA	0.00195602492275132	0.00648648251264117	green	Drosophila_melanogaster_abundant_sv	NA	232.203279647657
AG unshared minor splice site into major intron	0.0143589743589744	975	0.086974731008476	0.0000000233870508542883	-66.974358974359	0.0097429340166073	0.020975822118618	red	Drosophila_melanogaster_abundant_sv	***	-58.9518610421836
AG unshared minor splice site into major exon	0.0109011627906977	688	0.0967501968262175	0.0606535892479657	-45.1219512195122	0.00634304230017636	0.0183573890598327	red	Drosophila_melanogaster_abundant_sv	NA	-38.349963788525
AG control 20-60bp into major intron 5' side	0.0434782608695652	2829	0.0923498242472078	NA	NA	0.0383838781115751	0.0492024088126824	blue	Drosophila_melanogaster_abundant_sv	NA	-2.95314856559039
AG control 20-60bp into major exon 5' side	0.0198643410852713	3096	0.0928394089456179	NA	NA	0.0166011092072781	0.0237367251829891	blue	Drosophila_melanogaster_abundant_sv	NA	21.5915674755964
GT unshared major splice site	0.00326991676575505	1682	0.0944286927351125	NA	NA	0.00172072409872623	0.00603601181399246	green	Drosophila_melanogaster_abundant_sv	NA	45.8544354897902
GT unshared minor splice site into major intron	0.00960698689956332	1145	0.087062829034525	0.00000000045398011009401	-74.2274101444407	0.00617908013897125	0.0147652565134776	red	Drosophila_melanogaster_abundant_sv	***	-71.1434190663498
GT unshared minor splice site into major exon	0.0102420856610801	537	0.110134305281058	0.240354650586408	-36.9770328988206	0.00539542701957793	0.0188385619717742	red	Drosophila_melanogaster_abundant_sv	NA	-40.5820625094368
GT control 20-60bp into major intron 3' side	0.0372759856630824	2790	0.0914209529455501	NA	NA	0.0325315704782503	0.0426685222237398	blue	Drosophila_melanogaster_abundant_sv	NA	-11.9544724216582
GT control 20-60bp into major exon 3' side	0.0162513542795233	2769	0.0918853848612895	NA	NA	0.013159708332236	0.0200317285375495	blue	Drosophila_melanogaster_abundant_sv	NA	7.2265793535892
AG unshared major splice site	0.0107393638992152	9684	0.0738719500488274	NA	NA	0.00935759031732389	0.0123186222560174	green	Homo_sapiens_abundant_sv	NA	94.4580513964079
AG unshared minor splice site into major intron	0.0183650251909638	6153	0.0668178443145239	0.00000410036999764321	-30.0900745481414	0.0161006415143031	0.0209351482162126	red	Homo_sapiens_abundant_sv	***	-17.8385508465134
AG unshared minor splice site into major exon	0.0148683092608326	3531	0.0861641937710502	0.0750063822460207	-19.6457268715881	0.0122336743871469	0.0180436138173578	red	Homo_sapiens_abundant_sv	NA	-14.8634273057198
AG control 20-60bp into major intron 5' side	0.0262695533892541	17644	0.0728961444295684	NA	NA	0.0246379747542992	0.0280051367974315	blue	Homo_sapiens_abundant_sv	NA	-0.165288881016298
AG control 20-60bp into major exon 5' side	0.0185034456563026	18429	0.0730311816685613	NA	NA	0.0171639183961443	0.0199443175014751	blue	Homo_sapiens_abundant_sv	NA	2.96903965402942
GT no CpG unshared major splice site	0.00956094434355304	9361	0.0721357671191297	NA	NA	0.00823937836448927	0.011087574582125	green	Homo_sapiens_abundant_sv	NA	52.161848964918
GT no CpG unshared minor splice site into major intron	0.0245770128354726	6856	0.0645764502644397	0.482002281767234	-6.7358219741169	0.0220809832313543	0.0273430918777174	red	Homo_sapiens_abundant_sv	NA	-11.2858669215954
GT no CpG unshared minor splice site into major exon	0.0207525213343677	2578	0.0914416349244721	0.979317780281891	12.5561706857732	0.0171152879645907	0.0251210494534201	red	Homo_sapiens_abundant_sv	NA	-2.54915116823573
GT no CpG control 20-60bp into major intron 3' side	0.0263520392884949	16697	0.0729003906549629	NA	NA	0.0246732623143528	0.0281407244218627	blue	Homo_sapiens_abundant_sv	NA	-6.19173578021649
GT no CpG control 20-60bp into major exon 3' side	0.0184374798893108	15539	0.0727306235658854	NA	NA	0.0169848042822603	0.0200104691383713	blue	Homo_sapiens_abundant_sv	NA	-1.60589619244407
AG unshared major splice site	0.00108606316778208	17034	0.00185661910575597	NA	NA	0.000775744915668879	0.00151354308745933	green	Drosophila_melanogaster_rare_sv	NA	NA
AG unshared minor splice site into major intron	0.0349808169713383	8862	0.00196097418638857	0.0000000457988499319051	-21.9201026035499	0.0323479515419249	0.0378173132422552	red	Drosophila_melanogaster_rare_sv	***	NA
AG unshared minor splice site into major exon	0.0176823299069995	8172	0.00174345283990109	0.990837764626652	8.23526442600457	0.0157433289622168	0.019851429603842	red	Drosophila_melanogaster_rare_sv	NA	NA
AG control 20-60bp into major intron 5' side	0.0448013101166405	29921	0.0017875001360337	NA	NA	0.0431646792392706	0.0464966732419991	blue	Drosophila_melanogaster_rare_sv	NA	NA
AG control 20-60bp into major exon 5' side	0.0163369397217929	32350	0.00177274165272281	NA	NA	0.0153809639508856	0.0173507996716962	blue	Drosophila_melanogaster_rare_sv	NA	NA
GT unshared major splice site	0.002241904234708	18065	0.00170119307045557	NA	NA	0.00179196231616314	0.00280066702840813	green	Drosophila_melanogaster_rare_sv	NA	NA
GT unshared minor splice site into major intron	0.0332921870461807	13772	0.00169667197767998	0.000000000211259440709965	-21.3641672895894	0.0312202019830898	0.0354954485969007	red	Drosophila_melanogaster_rare_sv	***	NA
GT unshared minor splice site into major exon	0.0172373631493128	4293	0.00171569679505501	0.990219733066708	13.7322746022028	0.0146387289654803	0.0202768930174796	red	Drosophila_melanogaster_rare_sv	NA	NA
